Title,Work Item Type,State,ID
,"Bug","QA Deploy Sign Off","162156"
,"Bug","QA Deploy Sign Off","167549"
,"Bug","QA Deploy Sign Off","167721"
,"Bug","QA Deploy Sign Off","167722"
,"Bug","QA Deploy Sign Off","169004"
,"Bug","QA Deploy Sign Off","169287"
,"Bug","QA Deploy Sign Off","169329"
,"Bug","QA Deploy Sign Off","169338"
,"Bug","QA Deploy Sign Off","169342"
,"Bug","QA Deploy Sign Off","170564"
,"Bug","QA Deploy Sign Off","170695"
,"Bug","QA Deploy Sign Off","171518"
,"Bug","QA Deploy Sign Off","171537"
,"Bug","QA Deploy Sign Off","172262"
,"Bug","QA Deploy Sign Off","172791"
,"Bug","QA Deploy Sign Off","172813"
,"Bug","QA Deploy Sign Off","174420"
,"Bug","QA Deploy Sign Off","174464"
,"Bug","QA Deploy Sign Off","174621"
